ceapp_id_supplier_site,id_audit,audit_date
2361,rec03g2NOPCyU1SLI,2023-03-09
120,rec05NFxB2loX1cpF,2024-08-21
2069,rec05ZIRE8aRIPFzV,2024-10-23
3527,rec0Mez2wNLUobv5K,2023-04-07
616,rec0NVsfrsbnM6CbR,2025-05-07
3301,rec0RThMdVDjELs6Z,2024-04-23
1980,rec0RWcbPXODDeQKd,2023-11-23
2968,rec0TIK9YNUuk9VvJ,2022-09-29
2702,rec0WNxe769mT5wio,2023-03-21
3846,rec0WpgMM5XCLEcoW,2022-12-02
728,rec0XDcogA5Zj11TV,2025-09-09
1499,rec0ZCrcpJEXi10En,2022-10-11
3217,rec0aeAl17zTqml2Q,2022-02-02
3106,rec0amyFABPdkwC5b,2026-01-20
3576,rec0c7jdCSIu2yMr9,2024-02-15
4106,rec0cWTfRalh3Wgsz,2025-06-06
2856,rec0hwx4wty4yxq5R,2022-08-19
2930,rec0lKh4JQhsmi6b4,2023-06-29
159,rec0vnmkOSn27CVmA,2023-01-25
137,rec0zWXWiFEY5CzsF,2023-11-08
579,rec0zmyHodKAhyGMk,2025-02-26
2837,rec115QqSeDJgnXlT,2025-10-22
621,rec185iOZLMYl2mc3,2026-03-25
2362,rec18JH1NGGPIwf5L,2021-12-01
1569,rec1G2ACsQdZEP1l0,2024-05-07
736,rec1G9O81xUMduOE0,2024-01-17
2508,rec1IMemKwe9WiL5w,2023-05-23
1384,rec1KsZ3VGn5Jkxio,2021-11-24
1998,rec1LuYB1O4i5htW0,2024-10-30
3650,rec1OY4ht81JMqihN,2023-07-11
2595,rec1U08lbRYweW67J,2021-08-12
3376,rec1U2q5IRqPrmUwR,2021-08-06
2110,rec1UpNcTchMQvbti,2023-03-28
583,rec1ccuGpfWvnKzVX,2021-05-13
3333,rec1fBHuui5jJduuq,2025-01-23
3514,rec1fpcCW7eCfxaFx,2022-04-15
2206,rec1gH9XxLa2GNyKk,2023-03-07
33,rec1pUcnoE5sgkjf4,2024-08-09
2915,rec1rMHx4RaIXdJfi,2025-02-19
3012,rec1uTFImhF9MmCyM,2022-10-03
4012,rec1x0fCMDae8cbPh,2025-04-15
1209,rec1ypIEqd0QsS3V9,2025-05-21
2022,rec26rvlvTLQeSHvp,2024-03-21
791,rec2CsftJvBjmDrmx,2024-12-11
