status,monographNumber,englishName,latinName,substance,certificateHolder,cepNumber,cepType,cepStatus,cepIssueDate,cepEndDate,closureDateLastProcedure
In use,1,Boric acid,Acidum boricum,Boric Acid,Merck KGaA Darmstadt DE,R1-CEP 2014-171 - Rev 00,Chemical,Valid,16/04/2020,,16/04/2020
In use,1,Boric acid,Acidum boricum,Boric Acid; Granular and powder,BORAX FRANCAIS Coudekerque-Branche FR,R1-CEP 2008-310 - Rev 03,Chemical,Valid,10/01/2023,,10/01/2023
In use,10,Barium sulfate,Barii sulfas,Barium sulfate,VENATOR GERMANY GMBH Duisburg DE,R1-CEP 2006-257 - Rev 04,Chemical,Valid,29/09/2021,,29/09/2021
In use,100,Sodium sulfate decahydrate,Natrii sulfas decahydricus,,,,,,,,
In use,1000,Dextran 60 for injection,Dextranum 60 ad iniectabile,Dextran 60 for injection,Pharmacosmos A/S Holbaek DK,R1-CEP 1999-064 - Rev 03,Chemical,Valid,03/01/2022,,03/01/2022
In use,1001,Dextran 70 for injection,Dextranum 70 ad iniectabile,Dextran 70 for injection,Pharmacosmos A/S Holbaek DK,R1-CEP 1999-065 - Rev 03,Chemical,Valid,03/01/2022,,03/01/2022
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,Klinge Pharma  & Co Ltd County  Kerry IE,R0-CEP 1998-072 - Rev 01,Chemical,Withdrawn by Holder,06/11/2002,20/05/2005,20/05/2005
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,Ningbo Smart Pharmaceutical Co.; Ltd. Ningbo CN,R1-CEP 1999-075 - Rev 01,Chemical,Withdrawn by EDQM Failure to CEP procedure,16/12/2005,18/02/2011,18/02/2011
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,HENAN DONGTAI PHARM CO.; LTD. Tangyin CN,R0-CEP 2006-304 - Rev 00,Chemical,Withdrawn by EDQM Failure to CEP procedure,10/10/2008,17/04/2012,07/07/2011
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,AARTI DRUGS LIMITED Mumbai IN,R1-CEP 2000-055 - Rev 01,Chemical,Withdrawn by Holder,05/12/2008,27/02/2014,26/11/2010
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,Cheng Fong Chemical Co.; Ltd. Dayuan Township TW,R1-CEP 1997-092 - Rev 04,Chemical,Valid,07/02/2012,,16/09/2014
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,KAIRAV CHEMICALS LIMITED Ahmedabad IN,R1-CEP 1998-144 - Rev 04,Chemical,Withdrawn by Holder,07/02/2012,12/05/2014,01/02/2013
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium; Product code: 2583,ESTEVE QUIMICA S.A. Barcelona ES,R1-CEP 2009-389 - Rev 01,Chemical,Withdrawn by Holder,20/07/2017,30/09/2019,20/07/2017
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,Ningbo Smart Pharmaceutical Co.; Ltd. Ningbo CN,R1-CEP 2012-321 - Rev 00,Chemical,Valid,27/05/2020,,25/03/2024
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,ESTEVE QUIMICA S.A. Barcelona ES,R1-CEP 2000-133 - Rev 07,Chemical,Withdrawn by Holder,09/06/2020,14/05/2024,09/06/2020
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,HENAN DONGTAI PHARM CO.; LTD. Anyang City CN,R1-CEP 2014-009 - Rev 00,Chemical,Valid,21/12/2020,,21/12/2020
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,AMOLI ORGANICS PRIVATE LIMITED Mumbai IN,R1-CEP 1997-066 - Rev 04,Chemical,Valid,01/06/2021,,04/09/2023
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,OLON S.P.A. Rodano IT,R1-CEP 2009-303 - Rev 04,Chemical,Valid,01/06/2021,,30/06/2023
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,AARTI DRUGS LIMITED Mumbai IN,CEP 2021-246 - Rev 00,Chemical,Valid,26/01/2024,,26/01/2024
In use,1002,Diclofenac sodium,Diclofenacum natricum,Diclofenac sodium,J.B. CHEMICALS & PHARMACEUTICALS LIMITED Mumbai IN,CEP 1997-041 - Rev 06,Chemical,Valid,13/09/2024,,16/09/2024
