name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Award,Request to increase Score
VALPHARMA INTERNATIONAL S.P.A.,recIQig8oQIfR8BMx,GMP_FDF,04/07/2022,,04/07/2022,,"Via G. Morgagni 2, 
47864, Pennabilli, Rimini, 
Italy",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,2,3,0,55.4,59,67,54,59.80,NoAdequacy,Missing adequacy,24.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Datwyler Pharma Packaging Deutschland GmbH,rec8EVVVelWwCv9NY,GMP_PACKAGING,05/07/2022,,05/07/2022,ISO 15378:2017,"TORNADO STRASSE 4, 
76307, Karlsbad, 
Germany",Victoria,Yes,62.71,TRUE,,FALSE,2,1,0,76.7,59,56,67,61.15,Acceptable,55,28.07.2022,29.09.2022,49,43.02,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Zhejiang Jingxin Pharmaceutical Co. Ltd. WS 208 WS 208,recsxDNHIrSavV2Su,GMP_FDF,05/07/2022,06/07/2022,05/07/2022 - 06/07/2022,,"No. 800 Xinchang East Road, 
312500, Xinchang County, Zhejiang Province, PR, 
Yulin Subdistrict, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,2,3,0,55.4,50,60,54,55.10,NoAdequacy,Missing adequacy,02.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Alkaloida Chemical Company Zrt. - Chemistry Plant I,recoSu8too1CKcVV2,GMP_API,05/07/2022,,05/07/2022,EUGMP Part II / ICH Q7,"Kabay János u. 29, 
4440, Tiszavasvári, 
Hungary",Ania Jaworska,Yes,97.43,TRUE,,FALSE,0,0,0,100.0,100,87,93,92.65,No CAPA needed,No CAPA needed,12.08.2022,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Unique Chemicals Limited,recePaak5XrpNUzYH,GMP_API,05/07/2022,,05/07/2022,,"Plot No.5, Phase IV, District Bharuch, 
394116, Panoli, Gujarat, 
G.I.D.C. Industrial Area, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,59,60,67,62.55,NoAdequacy,Missing adequacy,01.08.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Vimta Labs Limited,recES92ejm5D5TqoM,GMP_LABORATORY,05/07/2022,,05/07/2022,,"Plot No. 5, M N Park, 
500101, Hyderabad, Telangana, 
Genome Valley, Shameerpet, Medchal, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,3,4,0,44.8,59,67,67,65.00,NoAdequacy,Missing adequacy,08.08.2022,29.09.2022,38,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Amino GmbH,reclCFKMFurBylGtE,GMP_API,05/07/2022,,05/07/2022,,"An der Zucker-Raffinerie 9, 
38373, Frellstedt, 
Germany",Nicolina Guasch,Yes,64.42,TRUE,,FALSE,2,1,0,76.7,67,59,67,64.20,Acceptable,55,25.07.2022,12.09.2022,35,46.15,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
SGS Analytics Germany GmbH,rec2mx0HfDevcRX8v,GMP_LABORATORY,05/07/2022,,05/07/2022,,"Auf der Hüls 183, 
52068, Aachen, 
Germany",Nicolina Guasch,Yes,Missing/wrong Data,FALSE,,TRUE,7,0,0,69.8,59,67,Check,#VALUE!,NoAdequacy,Missing adequacy,10.08.2022,30.08.2022,6,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
ACG Associated Capsules PvT Ltd,recRwc8l7kXLswP5Q,GMP_EXCIPIENTS,06/07/2022,,06/07/2022,,"Ashagadh Dahanu Road, 
401602, Maharashtra (Dahanu District), Thane, 
Taluka, 
India",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,5,2,0,55.9,67,67,Check,#VALUE!,NoAdequacy,Missing adequacy,26.07.2022,03.10.2022,55,Missing/Wrong CAPA data,TRUE,FALSE,FALSE,Not calculated,FALSE,FALSE
"ZHEJIANG HISUN PHARMACEUTICAL CO, LTD",recmhrfuEBXiXrUkQ,GMP_API,06/07/2022,07/07/2022,06/07/2022 - 07/07/2022,,"No. 46 Waisha Road, 
Taizhou, Zheijang, 
Jiaojiang District, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,67,54,61.80,NoAdequacy,Missing adequacy,21.07.2022,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
