name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Certificate generated,Request to increase Score
Melody Healthcare Pvt. Ltd.,recitGfmAjdiO3fIo,GMP_API,07/01/2025,08/01/2025,07/01/2025 - 08/01/2025,EUGMP Part II / ICH Q7,"Plot No. J-73, M.I.D.C, Tarapur, Dist. Palghar,, 
401506, Boisar, 
Maharashtra, 
India",Victoria,No,Missing/wrong Data,FALSE,,TRUE,7,0,0,69.8,42,54,54,51.00,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Nantong Senxuan Pharmaceutical Co., Ltd",rec1zuLyncIdNHdv0,GMP_STARTING_MATERIALS,07/01/2025,,07/01/2025,APIC Guide for Auditing Registered Starting Material Manufacturers (2018),"No. 20-1, 3 Haibin Road, Yanhai Economic Development Zone, Rudong, Nantong, Jiangsu Province, 
Jiangsu, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,6,1,0,62.5,67,54,41,52.05,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"SCHOTT Pharma USA, Inc.",reckG7UPz59hPOYsR,GMP_PACKAGING,28/01/2025,,28/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","30 Lebanon Valley Pkwy Lebanon PA 17042 USA, 
Lebanon, 
Lebanon PA 17042, 
United States",Ania Jaworska,Yes,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
"JIANGSU RUNDE MEDICAL MATERIALS CO.,LTD",recl24V5oEvsEjxtk,GMP_PACKAGING,08/01/2025,,08/01/2025,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","Shekou,, 
Changzhou, 
213115, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,6,5,0,32.6,59,56,60,58.35,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
QUALICONTROLE,recP3OipTMLckN9kV,GMP_LABORATORY,08/01/2025,,08/01/2025,Applicable parts of EU GMP Part I and II (including annexes),"29 Rue Paul Vaillant Couturier, 
60110, Méru, 
France",Omar Taha,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,67,67,1,40.60,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"AFLEX PORTUGAL , LDA",recTD6CXsVBe1uMlJ,ISO_9001,08/01/2025,,08/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of Preformed rubber hoses","PARQUE INDUSTRIAL DE PENSO, 
960-310, MELGAÇO, 
LOTES 14-15, 
Portugal",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,5,0,0,77.4,51,67,60,60.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Air Liquide España, S.A.",rec1z0AxVY58tJfP2,ISO_9001,08/01/2025,,08/01/2025,"ISO 9001: 2015 - Quality management systems, as applicable to the manufacturing of gases","Cami Can Bros, S/N BAJO, 
8760, Martorell, 
Barcelona, 
Spain",Gonzalo Regal,Yes,Missing/wrong Data,FALSE,,TRUE,3,0,0,85.7,59,59,67,62.20,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Tracelink Inc.,recPkR3EKrgSKuxln,GAMP_SOFTWARE,27/01/2025,,27/01/2025,"-EU GMP Part I, EU GMP Annex 11, US FDA 21 CFR Part 11","200 Ballardvale St Building 1, Suite 100, 
1887, Wilmington, 
MA, 
United States",Ania Jaworska,Yes,82.36,TRUE,27/03/2025,FALSE,2,0,0,90.3,59,67,67,65.00,Good,85,10.03.2025,21.03.2025,0,85.00,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
TriLink BioTechnologies LLC,recAh2SpciooqR3YC,ISO_9001,07/01/2025,,07/01/2025,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing and release of critical reagents","10770 Wateridge Circle, Suite 200, 
92121, San Diego, California, 
United States",Ania Jaworska,No,88.45,TRUE,14/03/2025,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Planzer Transport AG,recJXLuJZf9Tmrblh,GDP_DISTRIBUTION,08/01/2025,,08/01/2025,EC Guidelines of 5 November 2013 on Good Distribution Practice of medicinal products for human use (2013/C 343/01),"Allmendstrasse 14, 
5612, Villmergen, 
Aargau, 
Switzerland",Anne Germer,Yes,89.41,TRUE,14/03/2025,FALSE,0,0,0,100.0,78,67,67,69.75,No CAPA needed,No CAPA needed,,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
