ceapp_id_supplier,ceapp_id_supplier_site,ceapp_supplier_name,ceapp_supplier_site_name
382,1000,Europhartech,Europhartech Site Lempdes 2
28,80,BCNpeptides,BCN Peptides Sa
1942,3017,DPR Pharmaceuticals,DPR Pharmaceuticals (PTY) Ltd
649,1495,DELPH-i,DELPH-i GmbH
316,841,Acino,Acino Pharma AG
566,3738,Unilabchem,Zen Chemicals Pvt Ltd - Unit 5
259,535,Catalent,Catalent Greenville
522,1316,Solvias,Solvias AG
196,437,Formosa Pharmaceuticals,"Formosa Laboratories, Inc. - Site Changhua"
1217,2148,Gufic Group,Gufic Biosciences Ltd.
1506,2468,Wisdom Pharmaceutical,Wisdom Pharmaceutical Co. Ltd.
19,43,Aseptic Technologies,SKAN AG
152,326,Sanofi,Sanofi Chimie France - Site Sisteron
1396,2340,Shandong Loncom Pharmaceutical,"Shandong Loncom Pharmaceutical Co., Ltd"
1080,1978,Labtec,Labtec GmbH
656,1503,Dr. Notghi Contract Research,Dr. Notghi CRO GmbH
12,31,AMI Lifesciences,AMI Lifesciences
1099,1998,Liofilchem,Liofilchem SRL
1456,2411,Kocak Farma,Koçak Farma İlaç ve Kimya Sanayi A.Ş.
941,1811,Harke Group,Harke Pharma GmbH
1368,2306,Ningxia Joie Material,Ningxia Joie Material Co. Ltd.
42,100,Caesar & Loretz,Caesar & Loretz GmbH - Site Bonn-Beuel
497,1266,Qilu Pharmaceutical,"Qilu Synva Pharmaceutical Co., Ltd."
1538,2505,Zhe Jiang Dayang Biotech Group,"Zhejiang Dayang Biotech Group Co., Ltd."
1723,2771,Arvato,Arvato Systems GmbH
1682,2714,Alpinamed,Alpinamed AG
483,1232,GE Healthcare,GE Healthcare AS
1234,2165,HTBA,HealthTech Bio Actives S.L.U.
2231,3401,Robertet,Robertet Flavors Inc
508,1296,Schott,Schott Poonawalla Private Limited
2622,3844,Hebei Best Pharmaceuticals,Hebei Best Pharmaceuticals
2472,3655,Caldic,Caldic Ingredients Sweden AB
1044,1934,Universal Medica Group,Universal Medica France
505,1284,Rolabo Outsourcing,Rolabo Outsourcing SL
2667,3901,Fuchs Lubricants,Fuchs Lubricants UK - Site Hanley
1725,2776,BASR Fine Chemical Private,BASR Fine Chemicals Private Limited
911,1776,Synbias Pharma,Gemini Pharmchem Mannheim Gmbh
2612,3834,Distriphil,Distributions Solutions Phil.
1129,3763,Particle Measuring Systems,Particle Measuring Systems US - Site Boulder
2452,3470,Scandolara,Scandolara S.p.A.
1550,2527,Jiuzhou Pharma,Zhejiang Raybow Pharmaceutical Co. Ltd.
1830,2884,Metanor,COPENOR - Companhia Petroquímica do Nordeste
1733,2783,Bazelet Group,Bazelet Nehushtan Ltd.
1599,2588,Modulpac,Modulpac AB
1824,2874,Cell Culture Company,"Cell Culture Company, LLC"
355,924,Anuh Pharma,Anuh Pharma Ltd. - Site Mumbai
2338,3480,SciSafe,SciSafe Inc.
45,109,Centrient Pharmaceuticals,Centrient Pharmaceuticals India - Site 1
330,3733,Gruppo Angelini,Angelini Pharma SPA
