qf_supplier_id,qf_supplier_site_id,qf_supplier_name,qf_supplier_site_name,qf_supplier_site_valid_audit_count,qf_supplier_site_has_valid_audit,qf_supplier_site_audited_quality_types,qf_supplier_site_first_audit_booked,qf_supplier_site_last_expiration,qf_supplier_site_audited_requested_api,qf_supplier_site_audited_requested_product,qf_is_audit_valid
1,1,3V Sigma,3V Sigma S.p.A.,1,true,GMP_EXCIPIENTS,2023-05-08,2027-01-30,,synthalen kp (carbomere ep),true
1,1,3V Sigma,3V Sigma S.p.A.,1,true,GMP_EXCIPIENTS,2023-05-08,2027-01-30,,homopolymer carbomer,true
1,1,3V Sigma,3V Sigma S.p.A.,1,true,GMP_EXCIPIENTS,2023-05-08,2027-01-30,,pnc 400,true
1,1,3V Sigma,3V Sigma S.p.A.,1,true,GMP_EXCIPIENTS,2023-05-08,2027-01-30,,synthalen kp,false
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,"synthalen k, synthalen kp, stabylen 30",true
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,"prodeconium
 bromide",false
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,synthalen kp ,true
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,carbomer ep / synthalen mp,true
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,homopolymer carbomer,true
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,pnc 400,false
1,2,3V Sigma,3V Sigma USA Inc.,1,true,GMP_EXCIPIENTS,2024-06-19,2027-08-13,,carbomer ep / synthalen kp,true
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,storage and distribution of nifuroxazide,true
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,distribution of rutina,false
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,nifuroxazide,false
2,4,Actylis (Aceto),Aceto GmbH,1,true,GDP_DISTRIBUTION,2022-11-25,2026-02-14,,"storage and transport of bromhexin hydrochloride, codeine phosphate hemihydrate",true
