HOLDER,SUBJECT
HEXCEL CHEMICAL PRODUCTS,CPC
ROHM AND HAAS CO,LETHANE 384 SPECIAL
MONSANTO CO,SUCCINYL SULFATHIAZOLE
NATIONAL RESEARCH COUNCIL,PENICILLIN
WF STRAUB AND CO,HEXESTROL
EASTMAN CHEMICAL CO,"C-A-P(TM) CELLULOSE ESTER, NF (CELLACEFATE)"
NATIONAL RESEARCH COUNCIL,GELATIN & OTHER BLOOD SUBSTITUTES
ROHM AND HAAS CO,HYAMINE X (QUATERNARY AMMONIUM CHLORIDE COMPOUND)
NATIONAL RESEARCH COUNCIL,BAL IN OIL
YEAST PRODS INC,"RIBOFLAVIN, ACETYLATED"
VETERANS ADMINISTRATION,STREPTOMYCIN
PENICK CORP,TYROTHRICIN
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,THIOURACIL
MERCK AND CO INC,NITROGEN MUSTARDS
DEPT DEFENSE,PROTEIN HYDROLYSATES
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,STERILE FILLED PHARMACEUTICAL PREPARATIONS
JOHNS HOPKINS HOSP,P-ARSENOSOPHENYLBUTYRIC ACID
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"VITAMIN K, HYKIMONE"
CINBERG B L MD,PROGESTERONE
BOOTS FLINT INC SUB BOOTS CO USA INC,AMINO ACIDS
NATIONAL RESEARCH COUNCIL,"SN 13,276; PALUDRINE (CHLORUGUAN) AND SN 12-837"
NEW YORK QUININE AND CHEMICAL WORKS INC,METOPON
STEPAN CO INC,B.T.C. (ACTIVE INGRED: BENZALKONIUM CHL)
SB PENICK AND CO,RUTIN
UNIVERSITY OF CHICAGO DEPARTMENT OF MEDICINE,CARBOWAX--POLYETHYLENE GLYCOLS & OTHER GLYCOLS
NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,PALUDRINE
PARKE DAVIS AND CO,ANTIMALARIAL SN 10751
UNIV MINNESOTA,"AMIDONE, DOLPHINE (4,4-DIPHENYL-6-DIMETHYLAMINO-3-HEPTANONE HCL)"
DR. KARL JOHN KARNAKY,"STILBESTROL, INJ. & TABLETS"
JOHNS HOPKINS HOSP,THE ADMINISTRATION OF DI-ISOPROPYL FLUOROPHOSPHATE (DFP) TO MAN
US PUBLIC HEALTH SERV,"VIRUS, THERAPEUTIC SERUM, TOXIN ANTITOXIN"
ICI AMERICAS INC,"SORBITOL, MANITOL, HEXITOL EMULSIF. AGENT-TN: SPAN, TWEENS, ARLACEL"
BATTELLE MEMORIAL INSTITUTE,SELENIUM SULFIDE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,LEDINAC PARENTERAL
ROHM AND HAAS CO,AMBERLITES IRC-50 & XE 64
WYETH INC,ARTISONE ACETATE
SNYDER AND SNYDER,ANTIHISTAMINE INSOMNIA TREATMENT (MISCELLANEOUS)
PENICK CORP,KHELLIN
FIRMENICH INC,SOLPROTEX (DIGALLOYL TRIOLEATE)
ROHM AND HAAS CO,RESINS - ION EXCHANGE AMBERLITE IRP 276 (CHOLESTYRAMINE RESIN USP)
NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,LEVO-ISO-METHADONE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,GENERAL METHODS OF ASSAY AND CONTROLS
UNITED STATES PHARMACOPEIA,ACTH
SB PENICK AND CO,CASANTHRANOL
METAL AND THERMIT CORP,DIBUTYL TIN DILAURATE
PACIFIC YEAST PRODUCTS INC,B 12 SSUPPLEMENT (B-MEGATHERIUM)
PERMUTIT CO,PERMUTIT Z-AMMONIUM; PERMUTIT Z P-POTASSIUM
SB PENICK AND CO,VERABORE--SPECIAL AMORPHOUS ALKALOIDS OF VERATRUM VIRIDE
NUTRITION AND BIOSCIENCES USA 1 LLC,METHOCEL HG - HYDROXYPROPYL METHYLCELLULOSE
SCHERING CORP,CORTATE (DESOXYCORTICOSTERONE ACETATE)
ASHLAND INC,PLASDONE POLYVINYL PYRROLIDONE
MAYO CLINIC,COMMITTEE ON SAFETY OF THERAPEUTIC AGENTS
DIAMOND SHAMROCK CHEM CORP,DIPHENYLPYRALINE (THIS DMF FORMERLY HELD BY NOPCO CHEM. CO)
NATIONAL STARCH AND CHEMICAL CO,DRYFLO
CHLORAMINT CO,O-SILVER ANTISEPTIC DISPOSABLE DIAPERS & ANTISEPTIC SURGICAL DRESSING
NATIONAL RESEARCH COUNCIL,PLASMA EXPANDERS
DEPT DEFENSE,PRIMAQUINE
PLAVOLEX,PLAVOLEX (PLASMA VOLUME EXPANDER)
ER SQUIBB AND SONS INC,NYDRAZID
